geo,indicator,forecast_year,forecast_value,model_used
FR53,arrivals_per_person,2024,0.09649080790920284,Single
FR61,arrivals_per_person,2024,0.09649080790920284,Single
FR62,arrivals_per_person,2024,0.09649080790920284,Single
FR63,arrivals_per_person,2024,0.09649080790920284,Single
FR71,arrivals_per_person,2024,0.09649080790920284,Single
FR72,arrivals_per_person,2024,0.09649080790920284,Single
FR81,arrivals_per_person,2024,0.09649080790920284,Single
FR82,arrivals_per_person,2024,0.09649080790920284,Single
FR83,arrivals_per_person,2024,0.09649080790920284,Single
FRA1,arrivals_per_person,2024,0.09649080790920284,Single
FRA2,arrivals_per_person,2024,0.09649080790920284,Single
FRA3,arrivals_per_person,2024,0.09649080790920284,Single
FRA4,arrivals_per_person,2024,0.09649080790920284,Single
FRA5,arrivals_per_person,2024,0.09649080790920284,Single
FRZZ,arrivals_per_person,2024,0.09649080790920284,Single
HR04,arrivals_per_person,2024,0.999613284211205,Single
HU10,arrivals_per_person,2024,0.09649080790920284,Single
HUZZ,arrivals_per_person,2024,0.09649080790920284,Single
IE01,arrivals_per_person,2024,0.09649080790920284,Single
IE02,arrivals_per_person,2024,0.09649080790920284,Single
IS00,arrivals_per_person,2024,14.941945439831873,Single
ITZZ,arrivals_per_person,2024,0.09649080790920284,Single
LT00,arrivals_per_person,2024,0.09649080790920284,Single
MTZZ,arrivals_per_person,2024,0.09649080790920284,Single
NL31,arrivals_per_person,2024,1.5085175963939776,Single
NL33,arrivals_per_person,2024,1.7210216653145058,Single
NLZZ,arrivals_per_person,2024,0.09649080790920284,Single
NO0B,arrivals_per_person,2024,0.09649080790920284,Single
NOZZ,arrivals_per_person,2024,0.09649080790920284,Single
PL11,arrivals_per_person,2024,0.09649080790920284,Single
PL12,arrivals_per_person,2024,0.09649080790920284,Single
PL31,arrivals_per_person,2024,0.09649080790920284,Single
PL32,arrivals_per_person,2024,0.09649080790920284,Single
PL33,arrivals_per_person,2024,0.09649080790920284,Single
PL34,arrivals_per_person,2024,0.09649080790920284,Single
PLZZ,arrivals_per_person,2024,0.09649080790920284,Single
PT16,arrivals_per_person,2024,1.9928533043552328,Single
PT17,arrivals_per_person,2024,2.7804116024774803,Single
PT18,arrivals_per_person,2024,2.6219146033640675,Single
TR10,arrivals_per_person,2024,0.7998420272582389,Single
TR21,arrivals_per_person,2024,0.6605400062749804,Single
TR22,arrivals_per_person,2024,1.3420108213742599,Single
TR33,arrivals_per_person,2024,0.6548594155336078,Single
TR51,arrivals_per_person,2024,0.42279228524859047,Single
TR52,arrivals_per_person,2024,0.49186867792812705,Single
TR63,arrivals_per_person,2024,0.27310500936063486,Single
TR72,arrivals_per_person,2024,0.40025841171462173,Single
TR81,arrivals_per_person,2024,0.6415934696742239,Single
TR82,arrivals_per_person,2024,0.6454326787332456,Single
TR90,arrivals_per_person,2024,0.9020266378430251,Single
TRA1,arrivals_per_person,2024,0.7133854771390893,Single
TRA2,arrivals_per_person,2024,0.3906230630501159,Single
TRB2,arrivals_per_person,2024,0.3572272399958309,Single
TRC1,arrivals_per_person,2024,0.3979852064795346,Single
TRC2,arrivals_per_person,2024,0.3156196719197698,Single
TRC3,arrivals_per_person,2024,0.3368087951754418,Single
UKC1,arrivals_per_person,2024,0.642216252477348,Single
UKC2,arrivals_per_person,2024,1.5174650839504307,Single
UKD1,arrivals_per_person,2024,6.174255376694077,Single
UKD3,arrivals_per_person,2024,1.3614652157165006,Single
UKD4,arrivals_per_person,2024,1.656040146818877,Single
UKD6,arrivals_per_person,2024,1.6174986167220822,Single
UKD7,arrivals_per_person,2024,1.3599256915289253,Single
UKE1,arrivals_per_person,2024,1.3808914789198963,Single
UKE2,arrivals_per_person,2024,5.719129784073251,Single
UKE3,arrivals_per_person,2024,0.9933420179788285,Single
UKE4,arrivals_per_person,2024,0.9581691564439078,Single
UKF1,arrivals_per_person,2024,1.353963595052413,Single
UKF2,arrivals_per_person,2024,1.2258718461844997,Single
UKF3,arrivals_per_person,2024,2.378068376494185,Single
UKG1,arrivals_per_person,2024,1.1221391464967834,Single
UKG2,arrivals_per_person,2024,1.3493185612705147,Single
UKG3,arrivals_per_person,2024,1.4733100002155368,Single
UKH1,arrivals_per_person,2024,2.0057821853484863,Single
UKH2,arrivals_per_person,2024,1.2277740074373384,Single
UKH3,arrivals_per_person,2024,0.8492772141645679,Single
UKI1,arrivals_per_person,2024,0.09649080790920284,Single
UKI2,arrivals_per_person,2024,0.09649080790920284,Single
UKI3,arrivals_per_person,2024,4.786066693306635,Single
UKI4,arrivals_per_person,2024,2.7575267122498444,Single
UKI5,arrivals_per_person,2024,2.488802479073647,Single
UKI6,arrivals_per_person,2024,2.493379746301004,Single
UKI7,arrivals_per_person,2024,0.9939189173501379,Single
UKJ1,arrivals_per_person,2024,1.7711949908370301,Single
UKJ2,arrivals_per_person,2024,1.7600725082749111,Single
UKJ3,arrivals_per_person,2024,1.7666534784375285,Single
UKJ4,arrivals_per_person,2024,1.5929130011669963,Single
UKK1,arrivals_per_person,2024,1.91947472603177,Single
UKK2,arrivals_per_person,2024,3.17071208336964,Single
UKK3,arrivals_per_person,2024,6.517489739544413,Single
UKK4,arrivals_per_person,2024,3.525310704846219,Single
UKL1,arrivals_per_person,2024,2.970556774532727,Single
UKL2,arrivals_per_person,2024,2.169919291414411,Single
UKM2,arrivals_per_person,2024,0.09649080790920284,Single
UKM3,arrivals_per_person,2024,0.09649080790920284,Single
UKM5,arrivals_per_person,2024,2.3437418731046513,Single
UKM6,arrivals_per_person,2024,3.692295302842334,Single
UKN0,arrivals_per_person,2024,0.7622657418605423,Single
ATZZ,bed_places,2024,477.1256103515625,Single
DKZZ,bed_places,2024,477.1256103515625,Single
ES64,bed_places,2024,513.8340616726091,Single
ESZZ,bed_places,2024,477.1256103515625,Single
FR21,bed_places,2024,46326.13808142203,Single
FR22,bed_places,2024,39774.602772928054,Single
FR23,bed_places,2024,43976.143483784464,Single
FR24,bed_places,2024,118491.93707755093,Single
FR25,bed_places,2024,103007.32412934734,Single
FR26,bed_places,2024,88196.41268998705,Single
FR3,bed_places,2024,41465.62890625,Single
FR30,bed_places,2024,41465.62890625,Single
