geo,indicator,forecast_year,forecast_value,model_used
AL03,gva,2023,3560.5344,Single
CH01,gva,2023,133663.98,Single
CH02,gva,2023,140044.95,Single
CH03,gva,2023,99462.43,Single
CH04,gva,2023,151385.14,Single
CH05,gva,2023,76882.76,Single
CH06,gva,2023,63387.652,Single
CH07,gva,2023,29538.215,Single
NO02,gva,2023,17179.533,Single
NO06,gva,2023,25116.03,Single
NO07,gva,2023,25501.627,Single
NO08,gva,2023,134035.3,Single
NO09,gva,2023,32484.016,Single
NO0A,gva,2023,76537.22,Single
NO0B,gva,2023,336.24603,Single
NOZZ,gva,2023,72092.37,Single
PLZZ,gva,2023,22.511387,Single
AL01,gva_sector_a,2023,660.2284,Single
AL02,gva_sector_a,2023,460.82407,Single
AL03,gva_sector_a,2023,1177.3142,Single
BEZZ,gva_sector_a,2023,0.0053605903,Single
CH01,gva_sector_a,2023,777.5182,Single
CH02,gva_sector_a,2023,1171.5424,Single
CH03,gva_sector_a,2023,328.26913,Single
CH04,gva_sector_a,2023,323.60355,Single
CH05,gva_sector_a,2023,810.651,Single
CH06,gva_sector_a,2023,542.7692,Single
CH07,gva_sector_a,2023,64.816895,Single
DE11,gva_sector_a,2023,1106.6858,Single
DE12,gva_sector_a,2023,441.77365,Single
DE13,gva_sector_a,2023,622.68,Single
DE14,gva_sector_a,2023,755.2459,Single
DE21,gva_sector_a,2023,1664.354,Single
DE22,gva_sector_a,2023,1208.417,Single
DE23,gva_sector_a,2023,795.1114,Single
DE24,gva_sector_a,2023,518.48517,Single
DE25,gva_sector_a,2023,624.50226,Single
DE26,gva_sector_a,2023,761.9362,Single
DE27,gva_sector_a,2023,1059.77,Single
DE30,gva_sector_a,2023,1.7779124,Single
DE40,gva_sector_a,2023,1645.9781,Single
DE50,gva_sector_a,2023,1.9198126,Single
DE60,gva_sector_a,2023,123.8515,Single
DE71,gva_sector_a,2023,485.01865,Single
DE72,gva_sector_a,2023,233.30031,Single
DE73,gva_sector_a,2023,506.23587,Single
DE80,gva_sector_a,2023,1982.5786,Single
DE91,gva_sector_a,2023,947.00323,Single
DE92,gva_sector_a,2023,1059.1581,Single
DE93,gva_sector_a,2023,1818.9404,Single
DE94,gva_sector_a,2023,2754.1206,Single
DEA1,gva_sector_a,2023,1098.8027,Single
DEA2,gva_sector_a,2023,875.7045,Single
DEA3,gva_sector_a,2023,1306.7136,Single
DEA4,gva_sector_a,2023,693.04425,Single
DEA5,gva_sector_a,2023,641.785,Single
DEB1,gva_sector_a,2023,467.84824,Single
DEB2,gva_sector_a,2023,337.11002,Single
DEB3,gva_sector_a,2023,1632.2183,Single
DEC0,gva_sector_a,2023,61.036217,Single
DED2,gva_sector_a,2023,638.97186,Single
DED4,gva_sector_a,2023,684.2497,Single
DED5,gva_sector_a,2023,439.5919,Single
DEE0,gva_sector_a,2023,2057.0322,Single
DEF0,gva_sector_a,2023,1847.5024,Single
DEG0,gva_sector_a,2023,1309.8986,Single
FIZZ,gva_sector_a,2023,0.0053605903,Single
FR10,gva_sector_a,2023,740.13715,Single
FRB0,gva_sector_a,2023,2483.0525,Single
FRC1,gva_sector_a,2023,2536.8035,Single
FRC2,gva_sector_a,2023,889.24164,Single
FRD1,gva_sector_a,2023,1589.756,Single
FRD2,gva_sector_a,2023,1122.8639,Single
FRE1,gva_sector_a,2023,1858.0107,Single
FRE2,gva_sector_a,2023,2075.7205,Single
FRF1,gva_sector_a,2023,1033.332,Single
FRF2,gva_sector_a,2023,4279.272,Single
FRF3,gva_sector_a,2023,1203.5854,Single
FRG0,gva_sector_a,2023,2779.092,Single
FRH0,gva_sector_a,2023,3888.1094,Single
FRI1,gva_sector_a,2023,3527.8372,Single
FRI2,gva_sector_a,2023,605.75543,Single
FRI3,gva_sector_a,2023,2766.5125,Single
FRJ1,gva_sector_a,2023,1773.7108,Single
FRJ2,gva_sector_a,2023,1821.1285,Single
FRK1,gva_sector_a,2023,916.0666,Single
FRK2,gva_sector_a,2023,2307.6887,Single
FRL0,gva_sector_a,2023,1697.1978,Single
FRM0,gva_sector_a,2023,113.05098,Single
FRY1,gva_sector_a,2023,146.45634,Single
FRY2,gva_sector_a,2023,187.76106,Single
FRY3,gva_sector_a,2023,193.35754,Single
FRY4,gva_sector_a,2023,415.0593,Single
FRY5,gva_sector_a,2023,87.52927,Single
FRZZ,gva_sector_a,2023,0.0053605903,Single
IE04,gva_sector_a,2023,809.0313,Single
IE05,gva_sector_a,2023,2098.1177,Single
IE06,gva_sector_a,2023,1013.017,Single
LVZZ,gva_sector_a,2023,0.0053605903,Single
NL11,gva_sector_a,2023,613.31085,Single
NL12,gva_sector_a,2023,838.54663,Single
NL13,gva_sector_a,2023,745.7314,Single
NL21,gva_sector_a,2023,1062.4415,Single
NL22,gva_sector_a,2023,2047.5446,Single
NL23,gva_sector_a,2023,612.37506,Single
NL32,gva_sector_a,2023,1613.0405,Single
NL34,gva_sector_a,2023,690.45483,Single
NL41,gva_sector_a,2023,2883.6033,Single
NL42,gva_sector_a,2023,1387.9379,Single
NLZZ,gva_sector_a,2023,0.0053605903,Single
NO02,gva_sector_a,2023,0.0053605903,Single
NO06,gva_sector_a,2023,642.071,Single
NO07,gva_sector_a,2023,1705.3945,Single
NO08,gva_sector_a,2023,0.0053605903,Single
NO09,gva_sector_a,2023,0.0053605903,Single
NO0A,gva_sector_a,2023,2293.1255,Single
NO0B,gva_sector_a,2023,0.0053605903,Single
NOZZ,gva_sector_a,2023,0.0053605903,Single
PL21,gva_sector_a,2023,570.40704,Single
PL22,gva_sector_a,2023,504.52252,Single
PL41,gva_sector_a,2023,2239.0793,Single
PL42,gva_sector_a,2023,729.6197,Single
PL43,gva_sector_a,2023,397.74155,Single
PL51,gva_sector_a,2023,606.7275,Single
PL52,gva_sector_a,2023,398.8179,Single
PL61,gva_sector_a,2023,1072.9243,Single
PL62,gva_sector_a,2023,1002.16284,Single
