geo,indicator,forecast_year,forecast_value,model_used
PT18,bed_places,2024,54608.117,Single
TR10,bed_places,2024,1593.3741,Single
TR33,bed_places,2024,1593.3741,Single
TR51,bed_places,2024,1593.3741,Single
TR52,bed_places,2024,1593.3741,Single
TR63,bed_places,2024,25094.877,Single
TR71,bed_places,2024,1593.3741,Single
TR72,bed_places,2024,1593.3741,Single
TR81,bed_places,2024,1593.3741,Single
TRA1,bed_places,2024,1593.3741,Single
TRA2,bed_places,2024,1593.3741,Single
TRB1,bed_places,2024,10535.687,Single
TRB2,bed_places,2024,1593.3741,Single
TRC1,bed_places,2024,1593.3741,Single
TRC2,bed_places,2024,1593.3741,Single
TRC3,bed_places,2024,1593.3741,Single
UKC1,bed_places,2024,29703.941,Single
UKC2,bed_places,2024,62675.15,Single
UKD1,bed_places,2024,85237.3,Single
UKD3,bed_places,2024,75775.59,Single
UKD4,bed_places,2024,124034.32,Single
UKD6,bed_places,2024,50147.742,Single
UKD7,bed_places,2024,43533.305,Single
UKE1,bed_places,2024,24846.625,Single
UKE2,bed_places,2024,130953.74,Single
UKE3,bed_places,2024,27002.045,Single
UKE4,bed_places,2024,50338.86,Single
UKF1,bed_places,2024,74053.664,Single
UKF2,bed_places,2024,57868.707,Single
UKF3,bed_places,2024,57927.684,Single
UKG1,bed_places,2024,62388.824,Single
UKG2,bed_places,2024,44761.867,Single
UKG3,bed_places,2024,70535.45,Single
UKH1,bed_places,2024,95354.31,Single
UKH2,bed_places,2024,39759.89,Single
UKH3,bed_places,2024,54687.73,Single
UKI1,bed_places,2024,484830.97,Single
UKI2,bed_places,2024,111487.1,Single
UKI3,bed_places,2024,237711.11,Single
UKI4,bed_places,2024,147330.98,Single
UKI5,bed_places,2024,41532.07,Single
UKI6,bed_places,2024,38914.69,Single
UKI7,bed_places,2024,28222.08,Single
UKJ1,bed_places,2024,123820.92,Single
UKJ2,bed_places,2024,174286.56,Single
UKJ3,bed_places,2024,153487.23,Single
UKJ4,bed_places,2024,91358.63,Single
UKK1,bed_places,2024,135220.92,Single
UKK2,bed_places,2024,254005.02,Single
UKK3,bed_places,2024,254052.89,Single
UKK4,bed_places,2024,223251.3,Single
UKL1,bed_places,2024,477419.03,Single
UKL2,bed_places,2024,175791.5,Single
UKM2,bed_places,2024,64089.613,Single
UKM3,bed_places,2024,48562.207,Single
UKM5,bed_places,2024,16997.412,Single
UKM6,bed_places,2024,48629.45,Single
UKN0,bed_places,2024,38651.19,Single
AL01,bed_places_per_1k_persons,2024,47.031803,Single
AL02,bed_places_per_1k_persons,2024,35.202255,Single
AL03,bed_places_per_1k_persons,2024,46.50041,Single
ATZZ,bed_places_per_1k_persons,2024,7.743257,Single
DKZZ,bed_places_per_1k_persons,2024,7.743257,Single
ES64,bed_places_per_1k_persons,2024,10.077829,Single
ESZZ,bed_places_per_1k_persons,2024,7.743257,Single
FR21,bed_places_per_1k_persons,2024,7.743257,Single
FR22,bed_places_per_1k_persons,2024,7.743257,Single
FR23,bed_places_per_1k_persons,2024,7.743257,Single
FR24,bed_places_per_1k_persons,2024,7.743257,Single
FR25,bed_places_per_1k_persons,2024,7.743257,Single
FR26,bed_places_per_1k_persons,2024,7.743257,Single
FR3,bed_places_per_1k_persons,2024,7.743257,Single
FR30,bed_places_per_1k_persons,2024,7.743257,Single
FR41,bed_places_per_1k_persons,2024,7.743257,Single
FR42,bed_places_per_1k_persons,2024,7.743257,Single
FR43,bed_places_per_1k_persons,2024,7.743257,Single
FR51,bed_places_per_1k_persons,2024,7.743257,Single
FR52,bed_places_per_1k_persons,2024,7.743257,Single
FR53,bed_places_per_1k_persons,2024,7.743257,Single
FR61,bed_places_per_1k_persons,2024,7.743257,Single
FR62,bed_places_per_1k_persons,2024,7.743257,Single
FR63,bed_places_per_1k_persons,2024,7.743257,Single
FR71,bed_places_per_1k_persons,2024,7.743257,Single
FR72,bed_places_per_1k_persons,2024,7.743257,Single
FR81,bed_places_per_1k_persons,2024,7.743257,Single
FR82,bed_places_per_1k_persons,2024,7.743257,Single
FR83,bed_places_per_1k_persons,2024,7.743257,Single
FRA1,bed_places_per_1k_persons,2024,7.743257,Single
FRA2,bed_places_per_1k_persons,2024,7.743257,Single
FRA3,bed_places_per_1k_persons,2024,7.743257,Single
FRA4,bed_places_per_1k_persons,2024,7.743257,Single
FRA5,bed_places_per_1k_persons,2024,7.743257,Single
FRZZ,bed_places_per_1k_persons,2024,7.743257,Single
HR04,bed_places_per_1k_persons,2024,30.223923,Single
HU10,bed_places_per_1k_persons,2024,7.743257,Single
HUZZ,bed_places_per_1k_persons,2024,7.743257,Single
IE01,bed_places_per_1k_persons,2024,7.743257,Single
IE02,bed_places_per_1k_persons,2024,7.743257,Single
IS00,bed_places_per_1k_persons,2024,120.4812,Single
ITZZ,bed_places_per_1k_persons,2024,7.743257,Single
LT00,bed_places_per_1k_persons,2024,7.743257,Single
MTZZ,bed_places_per_1k_persons,2024,7.743257,Single
NL31,bed_places_per_1k_persons,2024,31.652472,Single
NL33,bed_places_per_1k_persons,2024,30.66121,Single
NLZZ,bed_places_per_1k_persons,2024,7.743257,Single
NO0B,bed_places_per_1k_persons,2024,7.743257,Single
NOZZ,bed_places_per_1k_persons,2024,7.743257,Single
PL11,bed_places_per_1k_persons,2024,7.743257,Single
PL12,bed_places_per_1k_persons,2024,7.743257,Single
PL31,bed_places_per_1k_persons,2024,7.743257,Single
PL32,bed_places_per_1k_persons,2024,7.743257,Single
PL33,bed_places_per_1k_persons,2024,7.743257,Single
PL34,bed_places_per_1k_persons,2024,7.743257,Single
PLZZ,bed_places_per_1k_persons,2024,7.743257,Single
PT16,bed_places_per_1k_persons,2024,59.8561,Single
PT17,bed_places_per_1k_persons,2024,50.342358,Single
PT18,bed_places_per_1k_persons,2024,72.564835,Single
TR10,bed_places_per_1k_persons,2024,7.743257,Single
TR33,bed_places_per_1k_persons,2024,7.743257,Single
TR51,bed_places_per_1k_persons,2024,7.743257,Single
TR52,bed_places_per_1k_persons,2024,7.743257,Single
TR63,bed_places_per_1k_persons,2024,7.743257,Single
TR71,bed_places_per_1k_persons,2024,7.743257,Single
TR72,bed_places_per_1k_persons,2024,7.743257,Single
TR81,bed_places_per_1k_persons,2024,7.743257,Single
TRA1,bed_places_per_1k_persons,2024,7.743257,Single
TRA2,bed_places_per_1k_persons,2024,7.743257,Single
TRB1,bed_places_per_1k_persons,2024,7.743257,Single
TRB2,bed_places_per_1k_persons,2024,7.743257,Single
TRC1,bed_places_per_1k_persons,2024,7.743257,Single
TRC2,bed_places_per_1k_persons,2024,7.743257,Single
TRC3,bed_places_per_1k_persons,2024,7.743257,Single
UKC1,bed_places_per_1k_persons,2024,24.023438,Single
UKC2,bed_places_per_1k_persons,2024,46.346966,Single
UKD1,bed_places_per_1k_persons,2024,175.75728,Single
UKD3,bed_places_per_1k_persons,2024,29.218155,Single
UKD4,bed_places_per_1k_persons,2024,84.147545,Single
UKD6,bed_places_per_1k_persons,2024,52.790386,Single
UKD7,bed_places_per_1k_persons,2024,28.908571,Single
UKE1,bed_places_per_1k_persons,2024,27.082247,Single
UKE2,bed_places_per_1k_persons,2024,157.37526,Single
